section,label,param,games,wins,losses,draws,win_rate,stderr,ci95_low,ci95_high
fair_vs_random,Naive,,10,7,3,0,0.7000,0.1449,0.3968,0.8922
fair_vs_random,Logic,,10,8,2,0,0.8000,0.1265,0.4902,0.9433
fair_vs_random,Greedy,,10,8,2,0,0.8000,0.1265,0.4902,0.9433
fair_vs_random,Improved,,10,8,2,0,0.8000,0.1265,0.4902,0.9433
fair_vs_random,BeliefExpectimax,,10,7,3,0,0.7000,0.1449,0.3968,0.8922
fair_vs_random,BeliefMCTS,,10,7,3,0,0.7000,0.1449,0.3968,0.8922
fair_vs_random,Tabular Q+prior,,10,7,3,0,0.7000,0.1449,0.3968,0.8922
fair_vs_random,Approx Q+shaping,,10,8,2,0,0.8000,0.1265,0.4902,0.9433
belief_expectimax_samples,samples=1,1,10,7,3,0,0.7000,0.1449,0.3968,0.8922
belief_expectimax_samples,samples=4,4,10,9,1,0,0.9000,0.0949,0.5958,0.9821
belief_expectimax_samples,samples=8,8,10,7,3,0,0.7000,0.1449,0.3968,0.8922
belief_expectimax_depth,depth=1,1,10,9,1,0,0.9000,0.0949,0.5958,0.9821
belief_expectimax_depth,depth=2,2,10,9,1,0,0.9000,0.0949,0.5958,0.9821
belief_mcts_simulations,simulations=4,4,10,7,3,0,0.7000,0.1449,0.3968,0.8922
belief_mcts_simulations,simulations=12,12,10,7,3,0,0.7000,0.1449,0.3968,0.8922
belief_mcts_simulations,simulations=24,24,10,9,1,0,0.9000,0.0949,0.5958,0.9821
q_learning_variants,heuristic only,,10,7,3,0,0.7000,0.1449,0.3968,0.8922
q_learning_variants,pure tabular Q,,10,5,5,0,0.5000,0.1581,0.2366,0.7634
q_learning_variants,tabular Q + prior,,10,7,3,0,0.7000,0.1449,0.3968,0.8922
q_learning_variants,approx Q + shaping,,10,6,4,0,0.6000,0.1549,0.3127,0.8318
approx_q_learning_episodes,episodes=0,0,10,7,3,0,0.7000,0.1449,0.3968,0.8922
approx_q_learning_episodes,episodes=500,500,10,7,3,0,0.7000,0.1449,0.3968,0.8922
approx_q_learning_episodes,episodes=1000,1000,10,6,4,0,0.6000,0.1549,0.3127,0.8318
approx_q_learning_episodes,episodes=5000,5000,10,6,4,0,0.6000,0.1549,0.3127,0.8318
oracle_expectimax_depth,depth=1,1,10,8,2,0,0.8000,0.1265,0.4902,0.9433
oracle_expectimax_depth,depth=2,2,10,8,2,0,0.8000,0.1265,0.4902,0.9433
oracle_mcts_simulations,simulations=4,4,10,9,1,0,0.9000,0.0949,0.5958,0.9821
oracle_mcts_simulations,simulations=12,12,10,6,4,0,0.6000,0.1549,0.3127,0.8318
