section,label,param,games,wins,losses,draws,win_rate,stderr,ci95_low,ci95_high
fair_vs_random,Naive,,40,27,13,0,0.6750,0.0741,0.5202,0.7992
fair_vs_random,Logic,,40,31,9,0,0.7750,0.0660,0.6250,0.8768
fair_vs_random,Greedy,,40,31,9,0,0.7750,0.0660,0.6250,0.8768
fair_vs_random,Improved,,40,31,9,0,0.7750,0.0660,0.6250,0.8768
fair_vs_random,BeliefExpectimax,,40,27,13,0,0.6750,0.0741,0.5202,0.7992
fair_vs_random,BeliefMCTS,,40,27,13,0,0.6750,0.0741,0.5202,0.7992
fair_vs_random,Q-learning,,40,30,10,0,0.7500,0.0685,0.5981,0.8581
belief_expectimax_samples,samples=1,1,40,31,9,0,0.7750,0.0660,0.6250,0.8768
belief_expectimax_samples,samples=4,4,40,29,11,0,0.7250,0.0706,0.5716,0.8389
belief_expectimax_samples,samples=8,8,40,26,14,0,0.6500,0.0754,0.4951,0.7787
belief_expectimax_depth,depth=1,1,40,27,13,0,0.6750,0.0741,0.5202,0.7992
belief_expectimax_depth,depth=2,2,40,27,13,0,0.6750,0.0741,0.5202,0.7992
belief_mcts_simulations,simulations=4,4,40,25,15,0,0.6250,0.0765,0.4703,0.7578
belief_mcts_simulations,simulations=12,12,40,23,17,0,0.5750,0.0782,0.4219,0.7149
belief_mcts_simulations,simulations=24,24,40,29,11,0,0.7250,0.0706,0.5716,0.8389
q_learning_episodes,episodes=0,0,40,32,8,0,0.8000,0.0632,0.6524,0.8950
q_learning_episodes,episodes=100,100,40,26,14,0,0.6500,0.0754,0.4951,0.7787
q_learning_episodes,episodes=500,500,40,29,11,0,0.7250,0.0706,0.5716,0.8389
oracle_expectimax_depth,depth=1,1,40,30,10,0,0.7500,0.0685,0.5981,0.8581
oracle_expectimax_depth,depth=2,2,40,33,7,0,0.8250,0.0601,0.6805,0.9125
oracle_mcts_simulations,simulations=4,4,40,32,8,0,0.8000,0.0632,0.6524,0.8950
oracle_mcts_simulations,simulations=12,12,40,32,8,0,0.8000,0.0632,0.6524,0.8950
